MixedDrink.Name|Ingredient.Name|Amount
Blueberry Vanilla Raspberry|Apricot Brandy|3
Champion's Hack|Gin|7
Compassionate Rain|Amaretto|10
Devilish Brandy Margarita|Anisette|9
Drunken Blend|Yukon|3
Drunken Gladness|Jack|9
Fall Musician|Jack Daniel's Whiskey|9
High Storm|Tequila|8
Holy Sadness Tea|Dry Vermouth|8
Infinite Witty Mix|Orange Bitters|1
Legendary Coconut Peanut|Irish cream|5
Legendary Ochre Bow|Orange Juice|3
Lemon Twister|Lemon Juice|10
Modest Sexual Priest|Grapefruit Juice|4
Philosopher's Halbierd|Cranberry Juice|10
Positive Gigolo's Creation|Ginger Ale|10
Raging Dancer|Spiced Rum|2
Raspberry Brew|Coca Cola|9
Vanilla Tart Autumn|Midori|2
Vengeance Shake|Rum|8
Apple Smut|Sour Mix|5
Astounding Magical Passion|Triple Sec|3
Astounding Whore's Ecstacy|Vodka|1
Blessed Sweet Jape|Peach Schnapps|6
Dutchy Cocktail|Blue Curacao|10
Evil Plum|Champagne|2
Fatal Ruby Plan|Sloe Gin|6
Final Desert Outlaw|Scotch|1
Foul Storm|DeKuyper Sour Apple|6
Imaginary Thinker|Apple Juice|6
Infinite Red Herbologist|Bacardi|10
Island Rocky|Sprite|5
Marine's Scream|Rumchata|8
Orange Lantern|Dry Sherry|5
Plum Blend|Lemonade|9
Purple Mansion|Raspberry Cordial|10
Random Thief's Spring|Lime Juice|9
Sexual Shake|Grenadine|7
Tart Dutchy|Calvados|7
Trader's Kingdom|Jamaica Rum|4
Banana Lemon Shot|Brandy|1
Bartender's Autumn|Mountain Dew|8
Coconut Lime Past|Dr Pepper|8
Devilish Insane Snare|Club Soda|4
Devilish Murder Order|Crème de Menthe|3
Elemental Passionate Moonset|Captain Morgan|4
Final Strength Cocktail|Coconut Rum|5
Foul Twisted Candle|Pineapple Juice|1
Godlike Chocolate Moonset|Everclear|4
Godlike Cut Wonder|Dark Rum|7
Hazelnut Carmel Blend|Absolut Citron Vodka|7
Infamous Modest Shot|Chocolate Liqueur|7
Infinite Coral Trap|Hazelnut Liqueur|1
Insane Dire Knight|Apple Brandy|7
Insane Hack Spring|Apricot Brandy|6
Legendary Tea Shandy|Gin|3
Nectarine Codex|Amaretto|8
Positive Bodyguard's Castle|Anisette|8
Rotten Fall|Yukon|6
Thin Wand|Jack|1
Amazing Desert Shandy|Jack Daniel's Whiskey|2
Angelic Deep Anvil|Tequila|3
Cocoa Lemon Cocktail|Dry Vermouth|1
Demonic Fortune-teller's Oblivion|Orange Bitters|8
Dishonorable Mix|Irish cream|5
Far Sailor|Orange Juice|1
Furious Far|Lemon Juice|8
Furious Tea|Grapefruit Juice|7
Hazelnut Grape Stab|Cranberry Juice|1
High Plum Trap|Apricot Brandy|6
Indefinite King's Whip|Gin|4
Indefinite Ocean Mercenary|Amaretto|3
Infinite River Past|Anisette|3
Magic Bow|Yukon|5
Mental Northern|Jack|6
Negative Doomed Dirt|Jack Daniel's Whiskey|1
Pit Shandy|Tequila|7
Southern Club|Dry Vermouth|9
Special Joy|Orange Bitters|10
Vanilla Bow|Irish cream|8
Amazing Sapphire Rain|Orange Juice|10
Amazing Vanilla Walnut|Lemon Juice|2
Ancient Mead Potion|Grapefruit Juice|6
Angry Brew|Cranberry Juice|9
Architect's Book|Lemon Juice|5
Demonic Ecstatic Brew|Grapefruit Juice|10
Dirt Element|Cranberry Juice|3
Hateful Twister|Ginger Ale|2
Island Shaman|Spiced Rum|10
Kiwi Halbierd|Coca Cola|10
Moonrise Flute|Midori|5
Peanut Hazelnut Cocktail|Rum|8
Plum Dread|Sour Mix|10
Prince's Honor|Triple Sec|2
Random Spring Scribe|Vodka|5
Redemption Tea|Peach Schnapps|7
Spinning Law|Blue Curacao|4
Tasty Dagger|Champagne|3
Vanilla Tart Sword|Sloe Gin|4
Angel's Voice|Scotch|1
Angelic Ochre Rogue|DeKuyper Sour Apple|4
Blessed Compassionate Thunder|Apple Juice|10
Blessed Sour Shake|Bacardi|4
Deep Club|Sprite|6
Disgusting Squirt|Rumchata|1
Doomed Martini|Dry Sherry|9
Exorcist's Autumn|Lemonade|7
Foul Dreamer's Fear|Raspberry Cordial|8
Holy Forest Politician|Lime Juice|10
Holy Thunder Armageddon|Grenadine|7
Holy Tundra Cordial|Calvados|8
Infamous Chocolate Greatness|Jamaica Rum|4
Infamous War Law|Brandy|4
Island Harlot|Mountain Dew|1
Legendary Letcherous Blast|Dr Pepper|5
Low Arctic Abyss|Club Soda|7
Modest Diamond Armorer|Crème de Menthe|4
Obvious Insane Scream|Captain Morgan|2
Peach Elixir|Coconut Rum|2
Peppermint Insanity|Pineapple Juice|4
Absolute Cultivated Grave robber|Everclear|1
Amazing Annihilation Creation|Dark Rum|5
Amazing Far Queen|Absolut Citron Vodka|4
Amazing Jade Strength|Chocolate Liqueur|5
Ancient Herbologist's Lunacy|Hazelnut Liqueur|2
Berry Shandy|Apple Brandy|6
Blessed Fat Rogue|Sloe Gin|3
Coconut Chocolate Slap|Scotch|5
Deathly Cocoa|DeKuyper Sour Apple|3
Godlike Bodyguard's Moonrise|Apple Juice|7
Grape Peanut Autumn|Bacardi|9
Holy Garnet Pit|Sprite|7
Insane Cognac Twister|Rumchata|6
Jade Rain|Dry Sherry|5
Letcherous Altar|Lemonade|6
Low Rotten War|Raspberry Cordial|3
Mint Grape Destiny|Lime Juice|8
Raspberry Flute|Grenadine|1
Thin Assassin|Calvados|10
Wonderful War Greatness|Jamaica Rum|6
Absolute Milk Tea|Brandy|6
Ancient Bloody Fortune-teller|Mountain Dew|9
Blessed Decadent Tea|Dr Pepper|2
Fatal Lemon Gate|Club Soda|1
Fatal Liquour Cocoa|Crème de Menthe|5
Final Chocolate Trousers|Captain Morgan|1
Foul Codex|Coconut Rum|4
Godlike Joy Martini|Pineapple Juice|4
Hazelnut Imagining|Everclear|8
Insane Beastmaster|Dark Rum|4
Island Smuggler|Absolut Citron Vodka|1
Kingdom Punch|Chocolate Liqueur|5
Liquour Float|Hazelnut Liqueur|7
Nectarine Brew|Apple Brandy|2
Peppermint Apple Margarita|Coca Cola|10
Positive Carmel Smut|Midori|7
Sour Lightning|Rum|6
Thief's Chaos|Sour Mix|4
Ultimate Crazy Margarita|Triple Sec|3
Wonderful Twisting Ecstacy|Vodka|8
Absolute Mystic Lantern|Peach Schnapps|9
Beer Tea|Blue Curacao|2
Broad Berry|Champagne|2
Cartographer's Sunset|Sloe Gin|10
Devilish Lemon Voice|Scotch|4
Final Clever Shake|DeKuyper Sour Apple|1
Final Courageous Orange|Apple Juice|5
Furious Martini|Bacardi|7
Harlot's Planet|Sprite|7
Honorable Spring|Rumchata|3
Indefinite Sailor's Blast|Dry Sherry|7
Infamous Barbarian's Light|Lemonade|1
Infinite Sunrise Creation|Raspberry Cordial|4
Lime Mint Elixir|Lime Juice|8
Low Peppermint Voice|Grenadine|8
Low Raging Decadent|Calvados|9
Obvious Deep Conjurer|Jamaica Rum|2
Spring Bodyguard|Brandy|10
Storm Brew|Mountain Dew|6
Tea Peanut Cocoa|Dr Pepper|9
Absolute Alabaster Nectarine|Club Soda|3
Almond Sword|Crème de Menthe|5
Blessed Arctic Slice|Captain Morgan|3
Buster Lightning|Coconut Rum|10
Elemental Mystic Grave robber|Pineapple Juice|8
Foul Sour Breath|Everclear|1
Godlike Draught|Dark Rum|7
Infamous Modest Seer|Absolut Citron Vodka|7
Lime Peach Breaker|Chocolate Liqueur|2
Melon Strength|Hazelnut Liqueur|5
Peach Plum Blend|Apple Brandy|1
Positive Brown Plot|Club Soda|7
Positive Lunacy Shandy|Crème de Menthe|10
Random Bandit's Creation|Captain Morgan|2
Random Liquer Margarita|Coconut Rum|7
Regal Smuggler|Pineapple Juice|3
Slice Creation|Everclear|3
Vanilla Armageddon|Dark Rum|1
Walnut Tea Coral|Absolut Citron Vodka|2
Winter Cocktail|Chocolate Liqueur|4
Blueberry Vanilla Raspberry|Hazelnut Liqueur|9
Champion's Hack|Club Soda|7
Compassionate Rain|Crème de Menthe|10
Devilish Brandy Margarita|Captain Morgan|5
Drunken Blend|Coconut Rum|6
Drunken Gladness|Pineapple Juice|7
Fall Musician|Everclear|4
High Storm|Dark Rum|7
Holy Sadness Tea|Absolut Citron Vodka|8
Infinite Witty Mix|Chocolate Liqueur|8
Legendary Coconut Peanut|Hazelnut Liqueur|10
Legendary Ochre Bow|Club Soda|10
Lemon Twister|Crème de Menthe|2
Modest Sexual Priest|Captain Morgan|6
Philosopher's Halbierd|Coconut Rum|5
Positive Gigolo's Creation|Pineapple Juice|10
Raging Dancer|Everclear|10
Raspberry Brew|Dark Rum|10
Vanilla Tart Autumn|Absolut Citron Vodka|6
Vengeance Shake|Chocolate Liqueur|4
Apple Smut|Hazelnut Liqueur|4
Astounding Magical Passion|Sloe Gin|10
Astounding Whore's Ecstacy|Scotch|1
Blessed Sweet Jape|DeKuyper Sour Apple|5
Dutchy Cocktail|Apple Juice|5
Evil Plum|Bacardi|7
Fatal Ruby Plan|Sprite|7
Final Desert Outlaw|Rumchata|8
Foul Storm|Dry Sherry|4
Imaginary Thinker|Lemonade|5
Infinite Red Herbologist|Raspberry Cordial|2
Island Rocky|Lime Juice|6
Marine's Scream|Grenadine|3
Orange Lantern|Calvados|1
Plum Blend|Jamaica Rum|8
Purple Mansion|Brandy|9
