Store.Name|Ingredient.Name
African Art Design International|Apricot Brandy
Allgood Lounge|Gin
Alston's Pub|Amaretto
Amvets|Anisette
Anjeros Sports Bar & Grill|Yukon
Apartment|Jack
Arch & Column Pub|Jack Daniel's Whiskey
Atkins Park Tavern|Tequila
Aubree's Saloon|Dry Vermouth
Azdtoys|Orange Bitters
Backstage Lounge|Irish cream
Bananas Tavern|Orange Juice
Bar J Chuckwagon|Lemon Juice
Barr|Grapefruit Juice
Beechwood Lounge|Cranberry Juice
Bengal's Bar & Grill|Ginger Ale
Bentley's Restaurant|Spiced Rum
Bert's Bar & Grill|Coca Cola
Blue Martini Orlando|Midori
Bottle & Cork|Rum
BRENNAN BEER GORMAN|Sour Mix
Brews Brothers Inc|Triple Sec
Brown Room At Congress Hall|Vodka
Buckeys Tavern|Peach Schnapps
Buffalo Sports Garden|Blue Curacao
Bungalow Inn|Champagne
C J's Pub Inc|Sloe Gin
Cabana Club|Scotch
Captain Jack's Goodtime Tavern|DeKuyper Sour Apple
Casino El Camino Bar & Grill|Apple Juice
Centovini Bar|Bacardi
Chama River Brewing CO|Sprite
Chasers Nitelife|Rumchata
Chatham House Tavern|Dry Sherry
Chez Est|Lemonade
Chez Est Tavern|Raspberry Cordial
Chief O'Neill's Pub & Rstrnt|Lime Juice
Chipdio Corp|Grenadine
Chumly's On Main|Calvados
City Wine Works Unlmt|Jamaica Rum
Class Act|Brandy
Club Apollo|Mountain Dew
Club Metronome|Dr Pepper
Colony|Club Soda
Comedy Cafe|Crème de Menthe
Common Interest Karaoke|Captain Morgan
Copper Rocket Pub|Coconut Rum
Corner Pocket|Pineapple Juice
Cotton Club|Everclear
Country House|Dark Rum
Crazy Horse Bar Grill|Absolut Citron Vodka
Crystal City Sports Pub|Chocolate Liqueur
Dead Dog Saloon|Hazelnut Liqueur
Den|Apple Brandy
DERBY|Apricot Brandy
Dnmckay|Gin
Dock|Amaretto
Dog Tooth Bar & Grill|Anisette
Double Door Inn|Yukon
Double Olive|Jack
Duggan's Pub|Jack Daniel's Whiskey
Duke's Bar & Grill|Tequila
Enoch's Pub & Grill|Dry Vermouth
Envy|Orange Bitters
Exhale Bar & Grill|Irish cream
Farr Street Tavern|Orange Juice
Fat Tuesday's|Lemon Juice
Firehouse Pub|Grapefruit Juice
Fitzwilly's|Cranberry Juice
Flight Wine Bar|Apricot Brandy
Florida Victorian Incorporated|Gin
Friday's|Amaretto
Fusion 5 Sports Bar & Night|Anisette
G B Curly's|Yukon
Garfield's Restaurant & Pub|Jack
Gathering Place|Jack Daniel's Whiskey
Gator Pit; LLC|Tequila
Gatsby Social Club|Dry Vermouth
Geof Sprague|Orange Bitters
George R. Malcolm|Irish cream
Gingerman|Orange Juice
Gold Dust|Lemon Juice
Gradesaver|Grapefruit Juice
Grafton Pub|Cranberry Juice
Harold's Place|Lemon Juice
Harry's Bar & Grill|Grapefruit Juice
Hawkeye|Cranberry Juice
Haye Loft|Ginger Ale
High Dive|Spiced Rum
Highlander A British Pub|Coca Cola
Hillcrest Pub Llc|Midori
Hoggsbreath|Rum
Hollywood|Sour Mix
Horn's Gas Light Bar|Triple Sec
Hurricanelounge Inc.|Vodka
Idle Spurs Steak House|Peach Schnapps
J B's|Blue Curacao
J P Ryan's Tavern|Champagne
Jaks On South Park|Sloe Gin
Jellyrolls|Scotch
JENNI-LOU BAR-B-QUE|DeKuyper Sour Apple
