Name,City
African Art Design International,"Red Top, South Dakota"
Allgood Lounge,"Burning Fork, Oregon"
Alston's Pub,"Content, Arkansas"
Amvets,"Hill Number 2, New Hampshire"
Anjeros Sports Bar & Grill,"Holy Corners, Utah"
Apartment,"Skyhigh, Ohio"
Arch & Column Pub,"Bugscuffle, Indiana"
Atkins Park Tavern,"Tater Peeler, Oklahoma"
Aubree's Saloon,"Our Town, Arizona"
Azdtoys,"Plastic, Delaware"
Backstage Lounge,"Toadtown, Indiana"
Bananas Tavern,"Buffalolick, Alaska"
Bar J Chuckwagon,"Wideawake, Rhode Island"
Barr,"Personville, Arizona"
Beechwood Lounge,"Coinjock, Missouri"
Bengal's Bar & Grill,"Escatawpa, Wyoming"
Bentley's Restaurant,"On-a-Slant Village, District of Columbia"
Bert's Bar & Grill,"White Shield, Iowa"
Blue Martini Orlando,"Yaggy, District of Columbia"
Bottle & Cork,"Coal Fire, Pennsylvania"
BRENNAN BEER GORMAN,"Modest Town, Hawaii"
Brews Brothers Inc,"Ohm, Arkansas"
Brown Room At Congress Hall,"Stranger, Ohio"
Buckeys Tavern,"Ogeecheeton, Wyoming"
Buffalo Sports Garden,"Deadman Crossing, Delaware"
Bungalow Inn,"Falmouth, Wisconsin"
C J's Pub Inc,"Parrot, Vermont"
Cabana Club,"Shuffletown, Idaho"
Captain Jack's Goodtime Tavern,"Indian Head, Missouri"
Casino El Camino Bar & Grill,"Cotopaxi, Minnesota"
Centovini Bar,"Hidden Timber, Oregon"
Chama River Brewing CO,"Black Eyes, Colorado"
Chasers Nitelife,"Snow Hill, Oklahoma"
Chatham House Tavern,"Big Lick, North Dakota"
Chez Est,"Loveladies, Minnesota"
Chez Est Tavern,"Paris, Connecticut"
Chief O'Neill's Pub & Rstrnt,"Bestpitch, Arkansas"
Chipdio Corp,"Atlanta, Arkansas"
Chumly's On Main,"Winniconic, New Hampshire"
City Wine Works Unlmt,"Greece, New Jersey"
Class Act,"Sinker, West Virginia"
Club Apollo,"Nacogdoches, California"
Club Metronome,"Ham Lake, Hawaii"
Colony,"Escatawpa, Wyoming"
Comedy Cafe,"Kracker Station, Utah"
Common Interest Karaoke,"Sixes, Alabama"
Copper Rocket Pub,"Hell, North Carolina"
Corner Pocket,"Indianapolis, Oregon"
Cotton Club,"Del Monte, Georgia"
Country House,"Cozy Nook, Nebraska"
Crazy Horse Bar Grill,"Bat Cave, Nevada"
Crystal City Sports Pub,"Many, Wisconsin"
Dead Dog Saloon,"Wiseman, Vermont"
Den,"Ballplay, Vermont"
DERBY,"Kravaksarak, Rhode Island"
Dnmckay,"Joy Haven, Hawaii"
Dock,"Hill Number 2, New Hampshire"
Dog Tooth Bar & Grill,"Christmas City, Arizona"
Double Door Inn,"Peapack, Iowa"
Double Olive,"Telegraph, New Hampshire"
Duggan's Pub,"Angels Grove, Texas"
Duke's Bar & Grill,"Ohm, Arkansas"
Enoch's Pub & Grill,"Wyomanock, New York"
Envy,"Bestpitch, Arkansas"
Exhale Bar & Grill,"Fearing, Minnesota"
Farr Street Tavern,"Jeff Davis, New Mexico"
Fat Tuesday's,"Big Black, Colorado"
Firehouse Pub,"Angels Camp, Ohio"
Fitzwilly's,"Red Top, South Dakota"
Flight Wine Bar,"Kracker Station, Utah"
Florida Victorian Incorporated,"Chuloonawick, Alaska"
Friday's,"Telegraph, New Hampshire"
Fusion 5 Sports Bar & Night,"Denmark, Minnesota"
G B Curly's,"Kilts, West Virginia"
Garfield's Restaurant & Pub,"Kilts, West Virginia"
Gathering Place,"Warrior, New Jersey"
Gator Pit,"Bullfrog, California"
Gatsby Social Club,"Anaconda, Pennsylvania"
Geof Sprague,"Chilchinbito, Mississippi"
George R. Malcolm,"Calendar, New York"
Gingerman,"Pudding Hollow, New York"
Gold Dust,"Uno, Georgia"
Gradesaver,"Green Acres, North Dakota"
Grafton Pub,"Toto, West Virginia"
Harold's Place,"Burning Fork, Oregon"
Harry's Bar & Grill,"Bald Knobs, Wyoming"
Hawkeye,"Possum Bluff, Wyoming"
Haye Loft,"Winniconic, New Hampshire"
